( 323,  61) = 5fcf08435ce70c820000000000c00000
( 358,  61) = fd831c507ed3ffa000004898f9e0c0f9
( 360,  61) = fd935d20bc02ffe0c0008090c0c0f0c0
( 490,  61) = 0010333e0338b7b8dfdf8f8fdf1fcfdf
( 208,  62) = 7182fd877056f732206878fffbe878fb
( 238,  62) = 0010fb3a77737fb221ff6fffffffffff
( 370,  62) = ffdff108389bfc80a0e0f0e0e0e0f8f0
( 387,  62) = fe0e7e267facea1fd10000c3da84e6fb
( 217,  63) = ad901f80bc851c800000001010770010
( 254,  63) = 9eff00dfcff711f57f17030303070303
( 340,  63) = a388fcb4ae76b33010fbfdff3d2131bd
( 499,  63) = e23cc2bff3fec3feffffffe7ff75ffff
( 225,  64) = 4244da5fd5d06f577878f04b405859da
( 373,  64) = fd82fd603ca93c00400060f0e0fff9e0
( 376,  64) = fd822c707c53bca0a0a02020e0eef4e0
( 491,  64) = dc7af5bfc534c13fc7e7d7ffcfc7dfcf
( 501,  64) = e234fa9ff3fafffea0ffffffffffffff
(  24,  65) = 002a000a808c060b89ebc90105000101
( 114,  65) = 400348c0d5a4c243dfdb41cbcbffc808
( 220,  65) = 4ee94200afdfc7c0dfdec40010fa00de
( 380,  65) = ffd708587cc87cd0000000a0a0f1a3e0
( 409,  65) = fda2ff727a13fff280a008fcecfdff00
( 254,  66) = 3ff71effbeff10ff0504000000040000
( 341,  66) = a76083cf928e820effffd614f6fefefe
( 206,  68) = 0228a3b143040d751e0f03cf0f0f1d1f
( 208,  69) = 047c80f90564637f7f070307eb020703
( 199,  71) = 77e7eeff2a7fa028f5fd2deffd45ed7d
( 226,  71) = da7b53a7c124c37fd7fff7ffffeeefff
( 362,  71) = 8003e27be333fffbfffffffffffff600
( 389,  71) = 9e7f0ac237ed80cf3706040000000404
( 185,  72) = 43c7a18080042406405aca5a4a88584a
( 189,  72) = abd1a1a0eca10021808819b010fdb030
( 268,  72) = 8c7e8ccdc7ec804ffe01130011130101
( 398,  72) = 0008ea7f4313efefffffff0f0f1b1d0a
( 497,  72) = 023887b1c33083321f1f9f1fff1fbfbf
( 157,  73) = e3dfa0f9a6b300305dfbf56273443300
( 320,  73) = 00c78287c1ef000f5f1e1e4f00080008
( 386,  73) = 7edf0481aff705ff2100000000010000
( 402,  73) = 000df3f701042b077fffffbffb01efff
( 500,  73) = 023c86bcc33cc33f9f9f9fdf9f1f1fff
( 314,  74) = 006f029f87df01df7f1f170b0b090909
( 195,  75) = c022c101e509efcfefefffd8ffffdc88
( 325,  75) = 002b52070183ee0bdf1e0e8f0f080808
( 344,  75) = 02457a7123317be06e6ff76f6b086d2d
( 355,  75) = 8e20ca94cf99c3bdff949597ff979d97
(1204,  75) = 803ca28fc35f117f9b9fff9fff138091
(1262,  75) = 56ffc2d7e5ee045f7f15140103000100
( 232,  76) = 2110211b7008e21e2cac3c7c0cf83e7c
( 199,  77) = 5300fdfdc010f9dec0d9d9f9bb3bbb99
( 246,  77) = 9dda005886f635f05f1f0300008203df
( 351,  77) = 9efc88f9df7611f400d3df019191e7ff
( 205,  78) = ef8735a02c83300040700060fbe0e870
( 971,  79) = 2edf14cf75cf0c4f2100000101000000
( 201,  80) = 60084918c100c38ba8fbfd09fff9fffb
( 208,  80) = bfe78180b085000000243200003b0002
( 136,  82) = 8830bcf963a8225b0e1efffedec2cfde
( 195,  82) = 7a34ef20e720ec237f76f7eefee67efe
